link,title,rating,price
91PNxRv1gZL._AC_UY218_.jpg,"SAVAGE SWORD OF CONAN: THE ORIGINAL MARVEL YEARS OMNIBUS VOL. 6 (Savage Sword of Conan: the Original Marvel Years Omnibus, 6)",4.7,36168.0
81dY+tqqv0L._AC_UY218_.jpg,Masters of the Universe: Revelation,4.6,6201.0
817DSQC89oL._AC_UY218_.jpg,Joe Hill: The Graphic Novel Collection,4.5,10662.0
91liGc36r3L._AC_UY218_.jpg,"Troublemaker: A Barnaby and Hooker Graphic Novel, Book 1",3.8,8194.0
91UpNdEVaXL._AC_UY218_.jpg,"20,000 Leagues Under the Sea: The Graphic Novel (Campfire Graphic Novels)",4.6,4844.0
91ZvQe9HjmL._AC_UY218_.jpg,Injustice 2 (2017-2018) Vol. 4,4.8,6298.0
91qp8+oUNFL._AC_UY218_.jpg,Tintin and Alph-Art (The Adventures of Tintin: Original Classic),4.6,6783.0
81XWIYpVVbL._AC_UY218_.jpg,"CONAN THE BARBARIAN: THE ORIGINAL MARVEL YEARS OMNIBUS VOL. 7 (Conan the Barbarian: the Original Marvel Years Omnibus, 7)",4.8,32415.0
81dUfyL03-L._AC_UY218_.jpg,"Hotline Miami: Wildlife Vol. 2 (Hotline Miami: Wildlife, 2)",4.3,6875.0
91CUsJ65-YL._AC_UY218_.jpg,The League of Extraordinary Gentlemen (Vol III): Century,4.6,9693.0
81TSHIhoh9L._AC_UY218_.jpg,Dracula,4.9,14542.0
91804lNKACL._AC_UY218_.jpg,ULTRAMAN VOL. 1: THE RISE OF ULTRAMAN,4.7,7675.0
61Cw5HwdDPL._AC_UY218_.jpg,The Manual: Epictetus' Guide to Stoic Philosophy (PhilosoComics),4.7,3874.0
81H0L2BK6AL._AC_UY218_.jpg,Soldados de Salamina. Novela gráfica / Soldiers of Salamis: The Graphic Novel (Soldados De Salamina/ Soldiers of Salamis) (Spanish Edition),4.4,9188.0
81+Xyu6swhL._AC_UY218_.jpg,The Communist Manifesto: A Graphic Novel,4.6,9693.0
A1F90JsRkUL._AC_UY218_.jpg,The Call of the Wild: The Graphic Novel (Campfire Graphic Novels),4.6,4844.0
51VY1albhNL._AC_UY218_.jpg,A Girl Walks Home Alone at Night Vol. 1,4.4,4844.0
71LSt30JIAL._AC_UY218_.jpg,Nancy: A Comic Collection,4.6,7268.0
81SpBXXWZKL._AC_UY218_.jpg,Gatsby, ,9693.0
81IA2QQC7-L._AC_UY218_.jpg,Rick and Morty Vol. 1 (1),4.7,16796.0
91-CyEuKduL._AC_UY218_.jpg,Fables: The Deluxe Edition Book Six,4.8,1934.0
71X2+JWWkAL._AC_UY218_.jpg,The Harrowing of Hell,4.7,7273.0
915CiYu0dUL._AC_UY218_.jpg,"Under the Banner of King Death: Pirates of the Atlantic, a Graphic Novel",3.8,8461.0
A1wsxFsq3UL._AC_UY218_.jpg,Buffy Season 10 Library Edition Volume 3 (Buffy the Vampire Slayer),4.7, 
91QT-j9BD4L._AC_UY218_.jpg,"Tarzan of the Apes (Tarzan of the Apes, 1)",4.8,10420.0
51pBcVpl86L._AC_UY218_.jpg,Beowulf,4.5,9208.0
91bol7A+7QL._AC_UY218_.jpg,Fables: The Deluxe Edition Book Two,4.8,1934.0
712vnOIjcDL._AC_UY218_.jpg,James Bond: Omnibus Volume 001: Based on the novels that inspired the movies,4.5,9673.0
91p4dPyzNyS._AC_UY218_.jpg,ExtraOrdinary (Graphic Novel),4.3,7210.0
71mjgViO1hS._AC_UY218_.jpg,Hacking Graphic Novels: 8 Ways to Teach Higher-Level Thinking with Comics and Visual Storytelling (Hack Learning Series),4.8,14037.0
